Data;Close;;;;;
06.02.2023;7.47;;;;;
03.02.2023;7.6;;;;;
02.02.2023;7.59;;;;;
01.02.2023;7.32;;;;;
31.01.2023;7.41;;;;;
30.01.2023;7.41;;;;;
27.01.2023;7.39;;;;;
26.01.2023;7.37;;;;;
25.01.2023;7.22;;;;;
24.01.2023;7.32;;;;;
23.01.2023;7.3;;;;;
20.01.2023;6.83;;;;;
19.01.2023;6.72;;;;;
18.01.2023;6.63;;;;;
17.01.2023;6.8;;;;;
16.01.2023;6.74;;;;;
13.01.2023;6.17;;;;;
12.01.2023;5.83;;;;;
11.01.2023;5.61;;;;;
10.01.2023;5.61;;;;;
09.01.2023;5.6;;;;;
06.01.2023;5.51;;;;;
05.01.2023;5.56;;;;;
04.01.2023;5.53;;;;;
03.01.2023;5.49;;;;;
02.01.2023;5.46;;;;;
30.12.2022;5.37;;;;;
29.12.2022;5.43;;;;;
28.12.2022;5.44;;;;;
27.12.2022;5.47;;;;;
23.12.2022;5.52;;;;;
22.12.2022;5.47;;;;;
21.12.2022;5.52;;;;;
20.12.2022;5.5;;;;;
19.12.2022;5.45;;;;;
16.12.2022;5.54;;;;;
15.12.2022;5.69;;;;;
14.12.2022;5.92;;;;;
13.12.2022;5.82;;;;;
12.12.2022;5.63;;;;;
09.12.2022;5.67;;;;;
08.12.2022;5.59;;;;;
07.12.2022;5.58;;;;;
06.12.2022;5.64;;;;;
05.12.2022;5.66;;;;;
02.12.2022;5.61;;;;;
01.12.2022;5.63;;;;;
30.11.2022;5.7;;;;;
29.11.2022;5.52;;;;;
28.11.2022;5.42;;;;;
25.11.2022;5.52;;;;;
24.11.2022;5.55;;;;;
23.11.2022;5.49;;;;;
22.11.2022;5.46;;;;;
21.11.2022;5.41;;;;;
18.11.2022;5.61;;;;;
17.11.2022;5.61;;;;;
16.11.2022;5.51;;;;;
15.11.2022;5.72;;;;;
14.11.2022;5.53;;;;;
11.11.2022;5.61;;;;;
10.11.2022;6.12;;;;;
09.11.2022;5.9;;;;;
08.11.2022;7.1;;;;;
07.11.2022;7.25;;;;;
04.11.2022;7.31;;;;;
03.11.2022;7.26;;;;;
02.11.2022;7.21;;;;;
01.11.2022;7.22;;;;;
31.10.2022;7.2;;;;;
28.10.2022;7.17;;;;;
27.10.2022;7.2;;;;;
26.10.2022;7.24;;;;;
25.10.2022;6.87;;;;;
24.10.2022;6.81;;;;;
21.10.2022;6.78;;;;;
20.10.2022;6.85;;;;;
19.10.2022;6.84;;;;;
18.10.2022;6.87;;;;;
17.10.2022;6.95;;;;;
14.10.2022;6.94;;;;;
13.10.2022;6.72;;;;;
12.10.2022;6.87;;;;;
11.10.2022;6.87;;;;;
10.10.2022;6.94;;;;;
07.10.2022;6.99;;;;;
06.10.2022;7.14;;;;;
05.10.2022;7.06;;;;;
04.10.2022;7.04;;;;;
03.10.2022;6.88;;;;;
30.09.2022;7.1;;;;;
29.09.2022;6.88;;;;;
28.09.2022;7.03;;;;;
27.09.2022;7.3;;;;;
26.09.2022;6.9;;;;;
23.09.2022;6.76;;;;;
22.09.2022;6.72;;;;;
21.09.2022;6.8;;;;;
20.09.2022;6.66;;;;;
19.09.2022;6.69;;;;;
16.09.2022;6.86;;;;;
15.09.2022;6.91;;;;;
14.09.2022;7.07;;;;;
13.09.2022;7.32;;;;;
12.09.2022;7.69;;;;;
09.09.2022;7.41;;;;;
08.09.2022;6.78;;;;;
07.09.2022;6.63;;;;;
06.09.2022;6.98;;;;;
05.09.2022;7;;;;;
02.09.2022;7.09;;;;;
01.09.2022;6.97;;;;;
31.08.2022;6.99;;;;;
30.08.2022;6.88;;;;;
29.08.2022;7.07;;;;;
26.08.2022;7.29;;;;;
25.08.2022;7.57;;;;;
24.08.2022;7.56;;;;;
23.08.2022;7.53;;;;;
22.08.2022;7.48;;;;;
19.08.2022;7.43;;;;;
